prefix,rate
1792,0.29
2927,6.19
251,3.73
2234,8.1
1024,6.37
603,9.61
2089,4.14
350,0.65
2631,6.03
1863,4.66
2389,0.94
116,1.59
530,4.3
398,5.27
563,2.21
922,1.07
651,4.66
2938,2.7
1163,3.71
2723,1.11
2575,5.36
2610,6.82
2872,3.2
2606,2.62
2724,0.58
1955,7.36
1737,8.08
182,7.46
1082,6.1
1011,6.31
2371,6.19
254,0.75
1982,5.6
736,1.29
2698,1.42
642,6.14
1685,1.74
1389,8.1
571,3.39
1635,9.22
2165,7.67
1966,6.5
829,8.63
1347,3.4
366,4.95
2289,4.94
2085,6.89
530,3.17
2847,7.81
1904,0.21
2808,7.75
2351,2.65
2830,1.37
1645,8.87
1115,4.05
1408,5.55
2855,7.49
667,7.83
738,7.5
898,9.82
2337,9.34
1325,7.99
457,3.29
927,8.18
667,7.33
671,1.01
2847,1.2
538,6.8
861,8.04
1809,6.27
2539,4.99
2232,2.37
619,0.2
1540,3.02
833,5.09
1008,9.5
2249,5.22
2162,8.22
2306,1.73
1221,7.06
367,8.55
1458,0.11
2756,1.03
2253,7.57
986,9.5
1223,3.38
2373,1.26
2398,5.57
1922,3.12
641,5.78
1018,9.93
2808,0.91
979,4.89
1226,3.18
2021,2.99
2868,4.61
2907,5.85
662,5.11
1270,1.25
1376,0.45
1190,6.71
1799,7.98
2792,9.56
1089,5.52
1395,7.0
805,6.63
1008,3.01
1540,7.16
2068,0.41
2807,2.55
1687,8.12
1672,0.19
1465,8.47
2229,6.34
1416,9.2
1221,3.01
1741,7.5
1524,0.52
516,5.71
630,4.05
2301,9.77
400,7.42
1581,1.47
2334,4.56
301,6.95
1078,2.46
2977,0.64
2223,7.08
2576,7.43
1648,6.64
567,5.89
1294,6.81
2290,7.6
1050,9.87
2781,1.11
465,9.33
2176,6.39
1074,7.02
2317,2.41
2748,5.89
2419,7.83
2972,9.9
2397,1.22
1242,6.43
426,6.41
2929,9.94
376,8.95
471,3.16
1716,3.26
622,5.32
1545,4.67
900,2.04
2125,8.75
1520,7.6
1589,2.34
1549,7.64
2868,5.97
682,2.76
2186,5.28
786,1.41
1254,4.66
681,6.39
1924,3.12
2212,1.71
105,2.75
2080,4.52
1481,8.3
2474,0.37
474,2.85
1548,8.74
1737,3.59
1984,4.43
797,7.42
1158,6.99
679,4.74
1329,2.24
200,3.33
517,1.04
1932,3.08
542,3.61
1073,7.6
1779,3.45
2965,2.3
769,2.4
2314,0.84
2548,7.05
942,6.29
1955,0.65
2991,2.35
2318,5.43
474,2.21
1443,2.08
2269,6.66
1864,2.72
1198,3.89
1096,7.83
1836,7.04
1852,2.75
2235,1.22
2015,7.49
1009,9.45
2264,6.18
188,6.77
2515,8.64
864,3.04
112,1.91
2441,0.84
976,8.87
218,8.07
998,8.76
1338,7.87
1240,0.35
1862,2.13
1707,5.61
1221,6.53
2692,8.22
2279,9.89
2343,5.35
2802,6.66
2132,9.02
1844,6.01
1264,7.05
488,7.25
829,5.9
2741,2.16
2221,5.56
2914,7.63
1982,6.89
1549,6.04
2286,0.5
627,6.46
1589,1.56
508,6.63
624,2.27
1657,4.69
1752,2.37
235,3.37
767,3.89
1264,9.41
611,9.34
2147,7.52
818,4.05
2732,1.55
2457,0.61
2092,1.39
282,3.92
754,1.36
2906,0.68
625,1.07
2134,3.89
163,1.11
523,0.97
2428,4.41
974,2.0
2119,3.04
1329,1.3
129,1.37
1183,8.2
2377,1.92
1991,6.77
2508,3.42
2174,2.45
1667,6.52
